ts,symbol,bid,ask
2018-07-12T21:00:00Z,USDCAD,1.31538,1.31546
2018-07-12T21:00:00Z,USDCHF,1.00226,1.00242
2018-07-12T21:00:00Z,USDJPY,112.534,112.547
2018-07-14T21:00:00Z,AUDCAD,0.97625,0.97693
2018-07-14T21:00:00Z,AUDCHF,0.74342,0.7438
2018-07-14T21:00:00Z,AUDJPY,83.375,83.407
2018-07-14T21:00:00Z,AUDNZD,1.09665,1.09746
2018-07-14T21:00:00Z,CADCHF,0.7612,0.76168
2018-07-14T21:00:00Z,EURAUD,1.57365,1.57459
2018-07-14T21:00:00Z,EURCHF,1.17043,1.17072
2018-07-14T21:00:00Z,EURGBP,0.8827,0.8831
2018-07-14T21:00:00Z,EURJPY,131.268,131.306
2018-07-14T21:00:00Z,EURUSD,1.16841,1.16869
2018-07-14T21:00:00Z,GBPCHF,1.32538,1.32621
2018-07-14T21:00:00Z,GBPJPY,148.642,148.736
2018-07-14T21:00:00Z,GBPNZD,1.9551,1.95679
2018-07-14T21:00:00Z,GBPUSD,1.32334,1.32375
2018-07-14T21:00:00Z,NZDCAD,0.88982,0.89056
2018-07-14T21:00:00Z,NZDCHF,0.67761,0.67805
2018-07-14T21:00:00Z,NZDJPY,75.993,76.038
2018-07-14T21:00:00Z,NZDUSD,0.67653,0.67682
2018-07-14T21:00:00Z,USDCAD,1.31528,1.31583
2018-07-14T21:00:00Z,USDCHF,1.00158,1.00182
2018-07-14T21:00:00Z,USDJPY,112.33,112.343
2018-07-15T21:00:00Z,AUDCAD,0.97677,0.97739
2018-07-15T21:00:00Z,AUDCHF,0.7431,0.74358
2018-07-15T21:00:00Z,AUDJPY,83.241,83.317
2018-07-15T21:00:00Z,AUDNZD,1.09667,1.09761
2018-07-15T21:00:00Z,CADCHF,0.76069,0.76175
2018-07-15T21:00:00Z,EURAUD,1.57459,1.57582
2018-07-15T21:00:00Z,EURCHF,1.17015,1.1709
2018-07-15T21:00:00Z,EURGBP,0.8832,0.88385
2018-07-15T21:00:00Z,EURJPY,131.16,131.23
2018-07-15T21:00:00Z,EURUSD,1.1689,1.16906
2018-07-15T21:00:00Z,GBPCHF,1.32484,1.32568
2018-07-15T21:00:00Z,GBPJPY,148.406,148.551
2018-07-15T21:00:00Z,GBPNZD,1.95473,1.95678
2018-07-15T21:00:00Z,GBPUSD,1.3227,1.3235
2018-07-15T21:00:00Z,NZDCAD,0.88994,0.89046
2018-07-15T21:00:00Z,NZDCHF,0.67635,0.67765
2018-07-15T21:00:00Z,NZDJPY,75.823,75.926
2018-07-15T21:00:00Z,NZDUSD,0.6759,0.6765
2018-07-15T21:00:00Z,USDCAD,1.31547,1.31623
2018-07-15T21:00:00Z,USDCHF,1.00135,1.00165
2018-07-15T21:00:00Z,USDJPY,112.2,112.242
2018-07-16T21:00:00Z,AUDCAD,0.97435,0.97505
2018-07-16T21:00:00Z,AUDCHF,0.73946,0.73972
2018-07-16T21:00:00Z,AUDJPY,83.302,83.33
2018-07-16T21:00:00Z,AUDNZD,1.0947,1.09502
2018-07-16T21:00:00Z,CADCHF,0.7586,0.75895
2018-07-16T21:00:00Z,EURAUD,1.57814,1.57861
2018-07-16T21:00:00Z,EURCHF,1.16716,1.16764
2018-07-16T21:00:00Z,EURGBP,0.88477,0.88491
2018-07-16T21:00:00Z,EURJPY,131.5,131.537
2018-07-16T21:00:00Z,EURUSD,1.17112,1.17116
2018-07-16T21:00:00Z,GBPCHF,1.31891,1.31959
2018-07-16T21:00:00Z,GBPJPY,148.589,148.629
2018-07-16T21:00:00Z,GBPNZD,1.9527,1.9532
2018-07-16T21:00:00Z,GBPUSD,1.32345,1.32355
2018-07-16T21:00:00Z,NZDCAD,0.8901,0.89045
2018-07-16T21:00:00Z,NZDCHF,0.67535,0.67555
2018-07-16T21:00:00Z,NZDJPY,76.084,76.105
2018-07-16T21:00:00Z,NZDUSD,0.67769,0.67778
2018-07-16T21:00:00Z,USDCAD,1.31328,1.31396
2018-07-16T21:00:00Z,USDCHF,0.99664,0.99682
2018-07-16T21:00:00Z,USDJPY,112.272,112.302
2018-07-17T21:00:00Z,AUDCAD,0.97455,0.9748
2018-07-17T21:00:00Z,AUDCHF,0.7389,0.73908
2018-07-17T21:00:00Z,AUDJPY,83.395,83.414
2018-07-17T21:00:00Z,AUDNZD,1.08916,1.0894
2018-07-17T21:00:00Z,CADCHF,0.75815,0.75825
2018-07-17T21:00:00Z,EURAUD,1.5779,1.5784
2018-07-17T21:00:00Z,EURCHF,1.16624,1.16637
2018-07-17T21:00:00Z,EURGBP,0.8891,0.88928
2018-07-17T21:00:00Z,EURJPY,131.612,131.636
2018-07-17T21:00:00Z,EURUSD,1.16605,1.16618
2018-07-17T21:00:00Z,GBPCHF,1.31142,1.31186
2018-07-17T21:00:00Z,GBPJPY,148.023,148.065
2018-07-17T21:00:00Z,GBPNZD,1.9334,1.9338
2018-07-17T21:00:00Z,GBPUSD,1.31144,1.31161
2018-07-17T21:00:00Z,NZDCAD,0.8947,0.8948
2018-07-17T21:00:00Z,NZDCHF,0.67825,0.67845
2018-07-17T21:00:00Z,NZDJPY,76.554,76.573
2018-07-17T21:00:00Z,NZDUSD,0.6783,0.67838
2018-07-17T21:00:00Z,USDCAD,1.31905,1.31912
2018-07-17T21:00:00Z,USDCHF,1.00006,1.00022
2018-07-17T21:00:00Z,USDJPY,112.871,112.892
2018-07-18T21:00:00Z,AUDCAD,0.97397,0.97437
2018-07-18T21:00:00Z,AUDCHF,0.73902,0.73914
2018-07-18T21:00:00Z,AUDJPY,83.475,83.486
2018-07-18T21:00:00Z,AUDNZD,1.08886,1.08907
2018-07-18T21:00:00Z,CADCHF,0.7585,0.75875
2018-07-18T21:00:00Z,EURAUD,1.5732,1.57342
2018-07-18T21:00:00Z,EURCHF,1.16268,1.16281
2018-07-18T21:00:00Z,EURGBP,0.89051,0.89063
2018-07-18T21:00:00Z,EURJPY,131.348,131.36
2018-07-18T21:00:00Z,EURUSD,1.16383,1.16391
2018-07-18T21:00:00Z,GBPCHF,1.30544,1.30598
2018-07-18T21:00:00Z,GBPJPY,147.45,147.513
2018-07-18T21:00:00Z,GBPNZD,1.92355,1.9244
2018-07-18T21:00:00Z,GBPUSD,1.30687,1.30712
2018-07-18T21:00:00Z,NZDCAD,0.89445,0.89475
2018-07-18T21:00:00Z,NZDCHF,0.6784,0.67865
2018-07-18T21:00:00Z,NZDJPY,76.639,76.663
2018-07-18T21:00:00Z,NZDUSD,0.67929,0.67937
2018-07-18T21:00:00Z,USDCAD,1.31672,1.31706
2018-07-18T21:00:00Z,USDCHF,0.99898,0.99898
2018-07-18T21:00:00Z,USDJPY,112.835,112.845
2018-07-19T21:00:00Z,AUDCAD,0.97612,0.97652
2018-07-19T21:00:00Z,AUDCHF,0.73478,0.73514
2018-07-19T21:00:00Z,AUDJPY,82.719,82.746
2018-07-19T21:00:00Z,AUDNZD,1.09059,1.09144
2018-07-19T21:00:00Z,CADCHF,0.75275,0.75275
2018-07-19T21:00:00Z,EURAUD,1.58229,1.58287
2018-07-19T21:00:00Z,EURCHF,1.1632,1.16332
2018-07-19T21:00:00Z,EURGBP,0.89452,0.89467
2018-07-19T21:00:00Z,EURJPY,130.929,130.957
2018-07-19T21:00:00Z,EURUSD,1.16411,1.16425
2018-07-19T21:00:00Z,GBPCHF,1.30004,1.30058
2018-07-19T21:00:00Z,GBPJPY,146.347,146.397
2018-07-19T21:00:00Z,GBPNZD,1.92965,1.93106
2018-07-19T21:00:00Z,GBPUSD,1.3014,1.30151
2018-07-19T21:00:00Z,NZDCAD,0.89455,0.89505
2018-07-19T21:00:00Z,NZDCHF,0.6734,0.67383
2018-07-19T21:00:00Z,NZDJPY,75.802,75.85
2018-07-19T21:00:00Z,NZDUSD,0.67408,0.67439
2018-07-19T21:00:00Z,USDCAD,1.32719,1.32731
2018-07-19T21:00:00Z,USDCHF,0.99906,0.99921
2018-07-19T21:00:00Z,USDJPY,112.462,112.477
2018-07-21T21:00:00Z,AUDCAD,0.97485,0.97525
2018-07-21T21:00:00Z,AUDCHF,0.736,0.73669
2018-07-21T21:00:00Z,AUDJPY,82.663,82.712
2018-07-21T21:00:00Z,AUDNZD,1.08887,1.08969
2018-07-21T21:00:00Z,CADCHF,0.75447,0.756
2018-07-21T21:00:00Z,EURAUD,1.57981,1.5804
2018-07-21T21:00:00Z,EURCHF,1.1629,1.16432
2018-07-21T21:00:00Z,EURGBP,0.89226,0.89289
2018-07-21T21:00:00Z,EURJPY,130.603,130.708
2018-07-21T21:00:00Z,EURUSD,1.17187,1.1724
2018-07-21T21:00:00Z,GBPCHF,1.30262,1.30486
2018-07-21T21:00:00Z,GBPJPY,146.301,146.438
2018-07-21T21:00:00Z,GBPNZD,1.9276,1.9293
2018-07-21T21:00:00Z,GBPUSD,1.31268,1.31351
2018-07-21T21:00:00Z,NZDCAD,0.8948,0.8954
2018-07-21T21:00:00Z,NZDCHF,0.67525,0.67665
2018-07-21T21:00:00Z,NZDJPY,75.866,75.952
2018-07-21T21:00:00Z,NZDUSD,0.68062,0.68117
2018-07-21T21:00:00Z,USDCAD,1.31413,1.31493
2018-07-21T21:00:00Z,USDCHF,0.9922,0.99348
2018-07-21T21:00:00Z,USDJPY,111.422,111.481
2018-07-22T21:00:00Z,AUDCAD,0.97394,0.97511
2018-07-22T21:00:00Z,AUDCHF,0.73637,0.73742
2018-07-22T21:00:00Z,AUDJPY,82.689,82.757
2018-07-22T21:00:00Z,AUDNZD,1.09165,1.09259
2018-07-22T21:00:00Z,CADCHF,0.75465,0.7564
2018-07-22T21:00:00Z,EURAUD,1.57884,1.57987
2018-07-22T21:00:00Z,EURCHF,1.16319,1.1646
2018-07-22T21:00:00Z,EURGBP,0.89294,0.89391
2018-07-22T21:00:00Z,EURJPY,130.59,130.669
2018-07-22T21:00:00Z,EURUSD,1.17248,1.17286
2018-07-22T21:00:00Z,GBPCHF,1.30118,1.3038
2018-07-22T21:00:00Z,GBPJPY,146.173,146.26
2018-07-22T21:00:00Z,GBPNZD,1.93065,1.93179
2018-07-22T21:00:00Z,GBPUSD,1.31227,1.31303
2018-07-22T21:00:00Z,NZDCAD,0.89221,0.8932
2018-07-22T21:00:00Z,NZDCHF,0.6738,0.67515
2018-07-22T21:00:00Z,NZDJPY,75.683,75.738
2018-07-22T21:00:00Z,NZDUSD,0.6795,0.6799
2018-07-22T21:00:00Z,USDCAD,1.31308,1.31371
2018-07-22T21:00:00Z,USDCHF,0.99172,0.99288
2018-07-22T21:00:00Z,USDJPY,111.38,111.396
2018-07-23T21:00:00Z,AUDCAD,0.9721,0.97248
2018-07-23T21:00:00Z,AUDCHF,0.73248,0.73277
2018-07-23T21:00:00Z,AUDJPY,82.18,82.206
2018-07-23T21:00:00Z,AUDNZD,1.08761,1.08836
2018-07-23T21:00:00Z,CADCHF,0.75335,0.75355
2018-07-23T21:00:00Z,EURAUD,1.58368,1.58424
2018-07-23T21:00:00Z,EURCHF,1.16036,1.16056
2018-07-23T21:00:00Z,EURGBP,0.89226,0.89263
2018-07-23T21:00:00Z,EURJPY,130.189,130.209
2018-07-23T21:00:00Z,EURUSD,1.16918,1.16929
2018-07-23T21:00:00Z,GBPCHF,1.29968,1.30085
